[GENERAL]
DATE=July 16, 2018 at 17:47:41
CYME_VERSION=7.00
CYMDIST_REVISION=06

[SI]

[CONCENTRIC NEUTRAL CABLE]
FORMAT_CONCENTRICNEUTRALCABLE=ID,R1,R0,X1,X0,B1,B0,Amps,Amps_1,Amps_2,Amps_3,Amps_4,WithstandRating,NumberOfPhases,FailRate,TmpFailRate,MajorRepairTime,MinorRepairTime,MajorFailureProportion,PhaseCondID,NeutralCondID,NeutralWires,InsulationType,InsulationDielectricConst,InsulationDiameter,Dab,Dbc,Dac,RatedLevel,ContinuousTemperatureRating,SCCurrentTemperatureRating,PositiveSequenceShuntConductance,ZeroSequenceShuntConductance,LockImpedance,Favorite,Comments
2P2CU_1084,0.653400,0.213100,1.310700,0.282300,2.085100,2.085100,251.000000,251.000000,251.000000,251.000000,251.000000,0.000000,3,0.000000,0.000000,0.000000,0.000000,0.000000,DEFAULT,DEFAULT,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,
2P2CU_1085,0.653400,0.213100,1.310700,0.282300,2.085100,2.085100,193.000000,193.000000,193.000000,193.000000,193.000000,0.000000,3,0.000000,0.000000,0.000000,0.000000,0.000000,DEFAULT,DEFAULT,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,
2P2CU_1086,0.653400,0.213100,1.310700,0.282300,2.085200,2.085200,251.000000,251.000000,251.000000,251.000000,251.000000,0.000000,3,0.000000,0.000000,0.000000,0.000000,0.000000,DEFAULT,DEFAULT,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,
2P2CU_1087,0.653400,0.213100,1.310700,0.282300,2.085200,2.085200,193.000000,193.000000,193.000000,193.000000,193.000000,0.000000,3,0.000000,0.000000,0.000000,0.000000,0.000000,DEFAULT,DEFAULT,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,
2P350CU_1132,0.155300,0.162200,0.494300,0.097100,3.771200,3.771200,607.000000,607.000000,607.000000,607.000000,607.000000,0.000000,3,0.000000,0.000000,0.000000,0.000000,0.000000,DEFAULT,DEFAULT,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,
2P350CU_1133,0.155300,0.162200,0.494300,0.097100,3.771200,3.771200,470.000000,470.000000,470.000000,470.000000,470.000000,0.000000,3,0.000000,0.000000,0.000000,0.000000,0.000000,DEFAULT,DEFAULT,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,
2P40AL_882,0.364300,0.175000,0.685500,0.101600,3.105800,3.105800,305.000000,305.000000,305.000000,305.000000,305.000000,0.000000,3,0.000000,0.000000,0.000000,0.000000,0.000000,DEFAULT,DEFAULT,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,
2P40AL_892,0.364300,0.175000,0.685500,0.101600,3.105700,3.105700,305.000000,305.000000,305.000000,305.000000,305.000000,0.000000,3,0.000000,0.000000,0.000000,0.000000,0.000000,DEFAULT,DEFAULT,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,
2P40AL_902,0.364300,0.175000,0.685500,0.101600,3.105700,3.105700,305.000000,305.000000,305.000000,305.000000,305.000000,0.000000,3,0.000000,0.000000,0.000000,0.000000,0.000000,DEFAULT,DEFAULT,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,
2P40AL_912,0.364000,0.194200,0.684400,0.123900,1.907700,1.907700,277.000000,277.000000,277.000000,277.000000,277.000000,0.000000,3,0.000000,0.000000,0.000000,0.000000,0.000000,DEFAULT,DEFAULT,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,
350_XLPE,0.213000,0.495500,0.226500,0.133400,106.388000,106.388000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,3,0.000000,0.000000,0.000000,0.000000,0.000000,DEFAULT,DEFAULT,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,
3P1000AL_1052,0.105800,0.122500,0.230300,0.076000,5.811900,5.811900,623.000000,623.000000,623.000000,623.000000,623.000000,0.000000,3,0.000000,0.000000,0.000000,0.000000,0.000000,DEFAULT,DEFAULT,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,
3P10AL_1195,0.674800,0.188100,1.144900,0.207400,2.440200,2.440200,135.000000,135.000000,135.000000,135.000000,135.000000,0.000000,3,0.000000,0.000000,0.000000,0.000000,0.000000,DEFAULT,DEFAULT,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,
3P10AL_2096,0.674800,0.210100,1.142700,0.233200,1.552800,1.552800,137.000000,137.000000,137.000000,137.000000,137.000000,0.000000,3,0.000000,0.000000,0.000000,0.000000,0.000000,DEFAULT,DEFAULT,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,
3P10AL_2097,0.674800,0.210100,1.142700,0.233200,1.552800,1.552800,137.000000,137.000000,137.000000,137.000000,137.000000,0.000000,3,0.000000,0.000000,0.000000,0.000000,0.000000,DEFAULT,DEFAULT,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,
3P10AL_2128,0.674800,0.210100,1.142700,0.233200,1.552800,1.552800,188.000000,188.000000,188.000000,188.000000,188.000000,0.000000,3,0.000000,0.000000,0.000000,0.000000,0.000000,DEFAULT,DEFAULT,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,
3P10AL_2129,0.674800,0.210100,1.142700,0.233200,1.552800,1.552800,188.000000,188.000000,188.000000,188.000000,188.000000,0.000000,3,0.000000,0.000000,0.000000,0.000000,0.000000,DEFAULT,DEFAULT,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,
